,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"""캐릭터 한마디""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,플레이어,,,템플릿,,,제작·수정,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"호성
앤서",,,B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,프로필,,,,,,,,,,,,,,,,특성치,,,,,,,,,,,,,,,,,,,,,,,,,사진,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,이름,,,박진수,,,,,,,,,,,,,근력 STR,,,,50,,25,,교육 EDU,,,,75,,37,,지능 INT,,,,85,,42,,,,,,,,,,,,,
,키,,,185,,,,,,,,,,,,,,,,,,,10,,,,,,,,15,,,,,,,,17,,,,,,,,,,,,,
,직업,,,대학원생,,,,,,,,,,,,,건강 CON,,,,85,,42,,외모 APP,,,,55,,27,,정신력 POW,,,,65,,32,,,,,,,,,,,,,
,성별,,,남,,,,,나이,,31,,,,,,,,,,,,17,,,,,,,,11,,,,,,,,13,,,,,,,,,,,,,
,거주지,,,,,,,,국적,,한국,,,,,,크기 SIZ,,,,80,,40,,민첩 DEX,,,,65,,32,,행운 LUK,,,,25,,12,,,,,,,,,,,,,
,출생지,,,,,,,,시대,,,,,,,,,,,,,,16,,,,,,,,13,,,,,,,,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,기능목록,,,,,,,,,,,,,직업기능점수 :,,,,,300,,,,관심기능점수 :,,,,,170,,,,,남은 점수 :,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,?,관찰력,,,,25,45,70,35,14,?,재력,,,,0,,0,0,0,?,크툴루 신화,,,,0,,0,0,0,?,의료,,,,1,30,31,15,6,,,,,,,,,,,,
,?,듣기,,,,20,45,65,32,13,?,회계,,,,5,,5,2,1,?,오컬트,,,,5,,5,2,1,?,응급처치,,,,30,30,60,30,12,,,,,,,,,,,,
,?,자료조사,,,,20,45,65,32,13,?,자연,,,,10,60,70,35,14,?,정신분석,,,,1,,1,0,0,?,생존술(),,,,10,,10,5,2,,전투,,,,,,,,,,
,?,컴퓨터 사용,,,,5,,5,2,1,?,과학( ),,,,1,60,61,30,12,?,심리학,,,,10,35,45,22,9,?,수영,,,,20,,20,10,4,,,,,,,,,,,,
,?,전자기기,,,,1,,1,0,0,?,,,,,,,0,0,0,?,위협,,,,15,,15,7,3,?,오르기,,,,20,,20,10,4,,피해 보너스,,,,,,+1D4,,,,
,?,전기수리,,,,10,,10,5,2,?,,,,,,,0,0,0,?,매혹,,,,15,,15,7,3,?,도약,,,,20,,20,10,4,,체구,,,,,,+1,,,,
,?,기계수리,,,,10,,10,5,2,?,법률,,,,5,,5,2,1,?,말재주,,,,5,,5,2,1,?,회피,,,,32,,32,16,6,,회피,,,,,,32,,16,,6
,?,자동차 운전,,,,20,,20,10,4,?,인류학,,,,1,,1,0,0,?,설득,,,,10,50,60,30,12,?,변장,,,,5,,5,2,1,,이동력,,,,,,7,,,,
,?,중장비 조작,,,,1,,1,0,0,?,역사,,,,5,,5,2,1,?,모국어:한국,,,,75,,75,37,15,?,은밀행동,,,,20,,20,10,4,,체력,,,,,,,,최대체력,,
,?,파일럿(),,,,1,,1,0,0,?,고고학,,,,1,,1,0,0,?,외국어(),,,,1,,1,0,0,?,손놀림,,,,10,,10,5,2,,,,,,,,,,16,,
,?,,,,,,,0,0,0,?,감정,,,,5,30,35,17,7,?,,,,,,,0,0,0,?,열쇠공,,,,1,,1,0,0,,마력,,,,,,,,최대마력,,
,?,항법,,,,10,,10,5,2,?,예술/공예,,,,5,,5,2,1,?,투척,,,,20,,20,10,4,?,사격(권총),,,,20,,20,10,4,,,,,,,,,,13,,
,?,추적,,,,10,,10,5,2,?,,,,,,,0,0,0,?,근접전(격투),,,,25,40,65,32,13,?,사격(소총),,,,25,,25,12,5,,이성,,,,,,,,초기치,,최대치
,?,승마,,,,5,,5,2,1,?,독순술,,,,1,,1,0,0,?,근접전(도검),,,,20,,20,10,4,?,사격(기관단총),,,,15,,15,7,3,,,,,,,,,,65,,99
,?,조련,,,,5,,5,2,1,?,동물 다루기,,,,5,,5,2,1,?,근접전(도끼),,,,15,,15,7,3,?,사격(기관총),,,,10,,10,5,2,,"일시적
광기",,,,?,,"장기적
광기",,,,?
,?,,,,,,,0,0,0,?,잠수,,,,1,,1,0,0,?,근접전(창),,,,20,,20,10,4,?,사격(활),,,,15,,15,7,3,,,,,,,,,,,,
,?,폭파,,,,1,,1,0,0,?,최면술,,,,1,,1,0,0,?,근접전(채찍),,,,5,,5,2,1,?,사격(중화기),,,,10,,10,5,2,,중상,,,,?,,빈사,,,,?
,?,포격,,,,1,,1,0,0,?,비밀 지식,,,,1,,1,0,0,?,근접전(기타),,,,10,,10,5,2,?,화염방사기,,,,10,,10,5,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,무기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,무기,,,,,,,,보통,,,어려움,,,대단함,,,피해,,,,,,사거리,,,,공격횟수,,,,,탄약,,,,고장,,,,,,,,,,,,,,,
,맨손,,,,,,,,25,,,12,,,5,,,1d3 + 보너스,,,,,,-,,,,1,,,,,-,,,,-,,,,,"무일푼, 노숙.",,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,평균적 근력의 소유자.,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,잔병치레 없는 수준의 건강함.,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,대졸 수준 이상의 교육을 받음.,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,일반 사람의 민첩성.,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,머리가 좋아 다양한 지식을 가지고 있다.,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,보통 사람의 의지를 가졌다.,,,,,,,,,,
,소지품,,,,,,,,,,,,,,,,,,,,관계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,특징,,,,,,,,,,
,연구 논문,,,,,연구 기록지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,없음,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,신념 / 믿음,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,없음,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스킬 성장,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,캐릭터 설정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,외모,,,,,,,,,,,,,,,,,성격,,,,,,,,,,,,,,,,,기타,,,,,,,,,,,,,,,,,
